<Taxa>	PROTEIN	ARGININE	CYSTEINE	ISOLEUCINE	LEUCINE	LYSINE	METHIONINE	THREONINE	TRYPTOPHAN	VALINE	OIL	OLEIC	LINOLEIC	LINOLENIC	PALMITIC	STEARIC	STACHYOSE	SUCROSE
PI587978B	51.1	7.62	1.79	4.68	7.58	6.34	1.5	3.49	1.54	5.12	19.5	28.9	53.8	5.1	6.8	4.1	NA	NA
PI587979A	43.5	7.6	1.5	4.62	7.96	6.68	1.4	3.69	1.33	5.09	20.2	24.9	55.9	5.4	10.3	4.4	4.8	3.5
PI587979B	46.7	7.73	1.49	4.36	7.87	6.41	1.4	3.6	1.25	5.24	18.8	27.2	53.5	5.2	11.2	4.3	3.7	5.2
PI587980A	46.1	7.9	1.4	5	7.9	6.7	1.4	3.6	1.2	5.1	17.5	25.2	52.8	7.2	6.6	4.2	2.2	3.1
PI587980C	47.9	7.8	1.4	4.9	8.1	6.7	1.4	3.6	1.3	4.9	18.2	22	53.7	8.1	7.3	3.9	2.4	2.4
PI587982A	43.6	7.6	1.5	4.6	7.9	6.5	1.4	3.7	1.2	5.1	19	25.4	52.6	8.5	11.3	4.4	3.3	5
PI587982B	45	7.8	1.3	5.2	8.1	6.4	1.3	3.5	1.3	5	16.6	23.5	53.5	7.8	11.2	4.5	2.6	4.2
PI587983B	41.4	8	1.6	5	8.1	7	1.4	3.8	1.3	5.1	19.8	20.6	54.9	9.4	6.6	4.4	2.5	5.7
PI587984A	46.1	7.6	1.4	4.3	7.7	6.5	1.4	3.5	1.2	5.1	20	25.7	54.5	5.6	10.7	4.4	3.9	4.5
PI587984B	45.6	7.56	1.46	4.41	7.58	6.39	1.4	3.56	1.25	5.04	19.9	25	56.9	5.2	8.8	4.8	3.7	4.5
PI587985A	46.3	7.5	1.49	4.38	7.59	6.29	1.4	3.56	1.28	5.03	19.9	25.1	54.6	5.3	7.9	4.7	3.9	3.5
PI587985B	45.1	7.3	1.4	4.4	7.4	6.2	1.3	3.5	1.2	5	20.3	24.5	54.5	7.3	10.6	3.6	3.7	4
PI587986A	44.4	7.3	1.4	4.3	7.5	6.3	1.3	3.5	1.2	5	19.8	24.2	53.6	5.4	11.5	5	2.2	3
PI587986B	45.1	7.6	1.4	4.5	8	6.5	1.5	3.6	1.2	5.2	20.8	25.1	53	7.1	10.2	4.7	3.3	3.2
PI587987B	43.5	7.5	1.4	4.7	8	6.8	1.4	3.7	1.2	5	18.3	21.2	54.9	10.2	10.7	4.2	4.7	7.4
PI587987C	40.6	7.6	1.5	4.8	8	7	1.4	3.8	1.2	4.9	18.7	23.3	53.6	8.6	6.3	4.2	2.7	6.1
PI587988A	49.9	7.85	1.61	4.58	7.85	6.38	1.5	3.49	1.41	5.16	19.2	25.8	54.5	6.2	8.4	4	3.2	2.9
PI587988B	48.2	7.76	1.51	4.41	7.74	6.3	1.4	3.57	1.47	5.22	19	23.5	54.2	6.5	9.4	4.1	5.1	4.5
PI587990	46.8	7.6	1.4	4.3	7.8	6.3	1.5	3.5	1.2	5.1	18.4	25.2	50.9	6.9	11.5	4.3	3.3	5.4
PI587991	43.1	7.7	1.5	4.6	8	6.7	1.4	3.7	1.3	4.8	18.9	22.8	52.9	9.6	9.6	4.2	2.5	5.9
PI587992A	47.2	7.77	1.44	4.82	7.77	6.5	1.3	3.7	1.33	5.05	18.6	24.1	54.4	5.7	8.2	4	3.4	2
PI587992B	48.7	7.77	1.54	4.47	7.84	6.34	1.5	3.62	1.48	5.27	19.6	24.5	54.4	6.9	10.4	4.3	4.5	5.1
PI587992C	50.6	8.04	1.78	4.84	7.95	6.33	1.4	3.68	1.31	4.83	16.3	25.6	57.2	7.3	8.9	3.5	5	4.6
PI587992D	47.3	7.78	1.49	4.55	7.85	6.48	1.5	3.65	1.35	5.16	20	24.9	54.3	5.6	10.4	4.6	4	4.3
PI587992E	48.1	7.71	1.49	4.47	7.8	6.48	1.4	3.56	1.31	5.07	18.7	25.1	57.1	6.7	9.9	4.2	4.7	4.9
PI587992F	46.6	7.99	1.41	5.12	7.8	6.41	1.4	3.7	1.32	5.04	18.7	27.2	56.1	5	8	4.1	2.7	1.7
PI587992G	50.3	7.8	1.3	4.7	7.5	6.3	1.3	3.6	1.3	4.9	18.8	26.4	54.1	7.4	9.8	4	3.2	1.3
PI587994A	47.8	7.8	1.5	4.5	7.7	6.4	1.4	3.5	1.3	5.2	21.1	26.2	54.3	7	9	4.2	2.1	0.3
PI587994B	44.9	8	1.7	5.2	8.1	6.6	1.4	3.6	1.5	4.9	24	27.7	52.7	6.2	7.3	3.6	2.2	2
